day,locked,unlocked,recycled,totalLocked,lockTarget,emission,emissionToPrevLockPct,buffer,growthFactor,emergency
1,25000,140000,20000,9885000,17250,19712,105.13,20000,0.982750,0
2,25000,140000,20000,9770000,17250,20026,106.8,39600,0.963644,0
3,25000,140000,20000,9655000,23000,24031,96.12,58808,0.948871,0
4,25000,140000,20000,9540000,23000,26301,105.2,77631,0.937375,0
5,25000,140000,20000,9425000,23000,26623,106.49,96079,0.928356,0
6,25000,140000,20000,9310000,23000,26942,107.76,114157,0.921208,0
7,25000,140000,20000,9195000,23000,27258,109.03,131874,0.915471,0
8,25000,140000,20000,9080000,23000,27570,110.28,149236,0.910797,0
9,25000,140000,20000,8965000,23000,27877,111.51,166252,0.906920,0
10,25000,140000,20000,8850000,23000,28179,112.71,182927,0.903639,0
11,25000,140000,20000,8735000,23000,28476,113.9,199268,0.900802,0
12,25000,140000,20000,8620000,23000,28767,115.06,215283,0.898291,0
13,25000,140000,20000,8505000,23000,29052,116.2,230977,0.896018,0
14,25000,140000,20000,8390000,23000,29331,117.32,246358,0.893916,0
15,25000,140000,20000,8275000,23000,553633,2214.53,261430,0.891933,1
16,25000,140000,20000,8160000,23000,554016,2216.06,276202,0.890029,1
17,25000,140000,20000,8045000,23000,387811,1551.24,290678,0.888173,0
18,25000,140000,20000,7930000,23000,271468,1085.87,304864,0.886342,0
19,25000,140000,20000,7815000,23000,190027,760.11,318767,0.884516,0
20,25000,140000,20000,7700000,23000,133019,532.07,332392,0.882682,0
21,25000,140000,20000,7585000,23000,93113,372.45,345744,0.880827,0
22,25000,140000,20000,7470000,23000,65179,260.71,358829,0.878942,0
23,25000,140000,20000,7355000,23000,45625,182.5,371652,0.877019,0
24,25000,140000,20000,7240000,23000,31937,127.75,384219,0.875051,0
25,25000,140000,20000,7125000,23000,31235,124.94,396535,0.873032,0
26,25000,140000,20000,7010000,23000,31425,125.7,408604,0.870956,0
27,25000,140000,20000,6895000,23000,31614,126.45,420432,0.868819,0
28,25000,140000,20000,6780000,23000,31802,127.2,432023,0.866616,0
29,25000,140000,20000,6665000,23000,31988,127.95,443383,0.864342,0
30,25000,140000,20000,6550000,23000,32173,128.69,454515,0.861992,0
