day,locked,unlocked,recycled,totalLocked,lockTarget,emission,emissionToPrevLockPct,emissionToPrevActualLockPct,buffer,growthFactor,emergency
1,25000,140000,20000,9885000,17250,17865,95.28,,20000,0.982750,0
2,25000,140000,20000,9770000,10565,11593,100.94,46.37,39600,0.963644,0
3,25000,140000,20000,9655000,13961,13911,91.67,55.64,58808,0.948871,0
4,25000,140000,20000,9540000,16508,16694,93.03,66.77,77631,0.937375,0
5,25000,140000,20000,9425000,18419,20033,100.06,80.13,96079,0.928356,0
6,25000,140000,20000,9310000,19851,22294,103.31,89.17,114157,0.921208,0
7,25000,140000,20000,9195000,20926,23713,104.25,94.85,131874,0.915471,0
8,25000,140000,20000,9080000,21732,24859,105.23,99.43,149236,0.910797,0
9,25000,140000,20000,8965000,22336,25797,106.25,103.19,166252,0.906920,0
10,25000,140000,20000,8850000,22790,26579,107.29,106.31,182927,0.903639,0
11,25000,140000,20000,8735000,23000,27112,108.45,108.45,199268,0.900802,0
12,25000,140000,20000,8620000,23000,27430,109.72,109.72,215283,0.898291,0
13,25000,140000,20000,8505000,23000,27742,110.96,110.96,230977,0.896018,0
14,25000,140000,20000,8390000,23000,28047,112.19,112.19,246358,0.893916,0
15,25000,140000,20000,8275000,23000,553633,2214.53,2214.53,261430,0.891933,1
16,25000,140000,20000,8160000,23000,554016,2216.06,2216.06,276202,0.890029,1
17,25000,140000,20000,8045000,23000,166204,664.81,664.81,290678,0.888173,0
18,25000,140000,20000,7930000,23000,49861,199.44,199.44,304864,0.886342,0
19,25000,140000,20000,7815000,23000,29351,117.4,117.4,318767,0.884516,0
20,25000,140000,20000,7700000,23000,29605,118.42,118.42,332392,0.882682,0
21,25000,140000,20000,7585000,23000,29855,119.42,119.42,345744,0.880827,0
22,25000,140000,20000,7470000,23000,30102,120.41,120.41,358829,0.878942,0
23,25000,140000,20000,7355000,23000,30346,121.38,121.38,371652,0.877019,0
24,25000,140000,20000,7240000,23000,30586,122.34,122.34,384219,0.875051,0
25,25000,140000,20000,7125000,23000,30822,123.28,123.28,396535,0.873032,0
26,25000,140000,20000,7010000,23000,31054,124.21,124.21,408604,0.870956,0
27,25000,140000,20000,6895000,23000,31282,125.13,125.13,420432,0.868819,0
28,25000,140000,20000,6780000,23000,31507,126.02,126.02,432023,0.866616,0
29,25000,140000,20000,6665000,23000,31727,126.91,126.91,443383,0.864342,0
30,25000,140000,20000,6550000,23000,31944,127.77,127.77,454515,0.861992,0
